country,city,latitude,longitude,price_to,price_from,mean_price,median_price,two_week_vacation_price
Canada,Toronto,43.6520004272461,-79.381965637207,40925,30151,11454.088050314465,13000.0,231433.23270440253
Saint Martin,Les Terres Basses,18.065466,-63.141321,50705,50705,10707.758620689656,13000.0,251318.6206896552
Lithuania,Vilnius,54.687094718104,25.2822977901815,13041,13041,5125.0,4770.629370629371,97832.0
Cambodia,Siem Reap,13.3600953821144,103.856893317861,23470,23470,4585.087719298245,3400.0,111131.22807017544
Ethiopia,Addis Ababa,9.004452,38.758965,31147,31147,5738.949275362319,4896.376811594203,142639.28985507245
Aruba,Palm-Eagle Beach,12.5694331153817,-70.0416404753923,46739,58216,9497.798742138364,10018.867924528302,237924.1823899371
Swaziland,Mbabane,-26.32574,31.14466,29702,29702,6887.5,5150.0,155829.0
Argentina,Buenos Aires,-34.6037521362305,-58.3815612792969,53482,53482,5982.573599240266,5171.604938271605,190720.03038936373
Bolivia,La Paz,-16.495701,-68.133549,59034,59034,4294.505494505494,3400.0,178191.07692307694
Cameroon,Douala,4.04292,9.70613,80879,80879,5580.30303030303,4672.727272727273,239882.24242424243
Burkina Faso,Ouagadougou,12.36815,-1.52709,32858,32858,5889.705882352941,4738.235294117647,148171.88235294117
Bahrain,Manama,26.2235,50.58224,21273,22104,8780.584192439863,7954.639175257732,166305.1786941581
Saudi Arabia,Riyadh,24.6951294903403,46.6805663432751,26182,26182,6503.066812705367,5512.267250821467,143406.93537787514
Laos,Luang Prabang,19.8855991363525,102.13500213623,29231,29231,4096.0317460317465,3400.0,115806.44444444445
Northern Mariana Islands,Saipan,15.1925001144409,145.748001098633,42377,42377,7744.047619047619,7195.238095238095,193170.6666666667
Slovenia,Ljubljana,46.0515060424805,14.5061187744141,16213,16213,6723.333333333333,5500.0,126552.66666666666
Guatemala,Antigua Guatemala,14.5611000061035,-90.7343978881836,44532,44532,5047.863247863248,4536.752136752137,159734.08547008547
Bosnia and Herzegovina,Sarajevo,43.8601356187882,18.4301344156211,22783,22783,5211.221122112212,4528.162816281629,118523.09570957096
Germany,Berlin,52.5162142840317,13.3768173214048,8927,9562,8795.131086142323,8270.03745318352,141620.8352059925
Saint Barthelemy,Gustavia,17.8957,-62.85084,50705,50705,12436.363636363636,13000.0,275519.09090909094
Spain,Barcelona,41.3871002197266,2.17001008987427,11210,12286,10331.734317343173,11095.940959409594,168140.28044280442
Netherlands,Amsterdam,52.3728981018066,4.89300012588501,12965,9492,11271.204188481675,11554.973821989528,180253.85863874346
Paraguay,Asuncion,-25.29606,-57.63114,71395,71395,4717.105263157895,4321.0526315789475,208829.47368421053
Jamaica,Montego Bay,18.47211,-77.92177,34538,36255,8102.580645161291,7280.0,184229.12903225806
Oman,Muscat,23.59979,58.54513,19777,23950,7301.288659793814,5961.855670103093,145945.04123711342
Tanzania,Dar es Salaam,-6.81427,39.28038,20886,20886,5793.906810035843,4315.770609318996,122886.6953405018
Martinique,Les Trois-Îlets,14.53877,-61.03354,54974,54974,8180.0,7342.857142857143,224468.0
Gabon,Libreville,0.39,9.454,42319,42319,9252.5,8295.0,214173.0
Finland,Helsinki,60.1699806522452,24.9522693325707,9599,9599,11021.951219512195,13000.0,173505.31707317074
Monaco,Monte Carlo,43.7399406433105,7.42654323577881,10711,12258,12161.111111111111,13000.0,193224.55555555556
New Zealand,Auckland,-36.8488427354795,174.763350486755,44889,42831,8747.802197802197,8119.56043956044,210189.23076923075
Andorra,Pas de la Casa,42.54471,1.73349,19374,19374,4497.761194029851,4392.537313432836,101716.65671641791
Albania,Sarandë,39.8755989074707,20.0053005218506,7087,10477,4570.0413223140495,4614.876033057852,81544.57851239669
Samoa,Apia,-13.831298,-171.767384,66140,66140,6311.702127659574,5261.702127659574,220643.82978723402
Norfolk Island,Burnt Pine,-29.0318,167.94658,59759,59759,9009.45945945946,8408.108108108108,245650.43243243243
United Arab Emirates,Dubai,25.1951748673175,55.2726778015494,12973,13339,8313.216560509554,7666.114649681528,142697.03184713377
Guam,Tumon,13.5068998336792,144.800994873047,47136,47136,8753.488372093023,7981.395348837209,216820.83720930232
Uruguay,Punta del Este,-34.9608267637343,-54.9420638568699,62009,62009,8190.330188679245,7426.415094339623,238682.62264150943
India,New Delhi,28.6348991394043,77.2226028442383,13166,19262,3247.159090909091,3400.0,77888.22727272726
Azerbaijan,Baku,40.3759346008301,49.8411140441895,5258,8818,5293.9049586776855,4224.380165289256,88190.6694214876
Madagascar,Antananarivo,-18.91001,47.52558,38868,38868,3107.3529411764707,3400.0,121238.94117647059
Kenya,Nairobi,-1.29271507263184,36.8204650878906,17200,17200,6371.825876662636,5114.026602176542,123605.5622732769
South Korea,Seoul,37.5618924566236,126.981161006443,25702,25702,5463.207547169812,4701.58247108947,127888.90566037736
Crimea,Sevastopol,44.6114654945053,33.5201897617662,3840,3840,3459.254143646409,3400.0,56109.558011049725
Macao,Macau,22.2000007629395,113.550003051758,38287,38287,10421.83908045977,10655.172413793103,222479.74712643676
Turkey,İstanbul,41.0081712470905,28.9744455982873,7375,8007,6007.739596469105,4971.24842370744,99490.35435056748
Czech Republic,Prague,50.0877304077148,14.4211330413818,6825,6825,8476.144455747712,7861.851475076297,132316.02238046797
Solomon Islands,Honiara,-9.4313,159.95528,67201,67201,10015.384615384615,10692.307692307691,274617.3846153846
Saint Lucia,Gros Islet,14.0666999816895,-60.9500007629395,54974,54974,9324.545454545454,8083.636363636364,240491.63636363635
Hungary,Budapest,47.4984169006348,19.0403366088867,7649,7649,7749.288425047438,7370.588235294118,123788.03795066413
San Marino,San Marino,43.93532,12.44755,11179,11179,8075.0,7588.888888888889,135408.0
Mongolia,Ulaanbaatar,47.9166984558105,106.916999816895,29812,29812,4954.460093896713,3712.206572769953,128986.44131455399
France,Paris,48.8566821749061,2.35147638246417,14143,12323,9920.290423861852,10273.15541601256,165350.06593406593
Bermuda,Mount Pleasant,32.2742004394531,-64.7835998535156,51986,51986,12804.347826086956,13000.0,283232.8695652174
Slovakia,Bratislava,48.143262,17.108228,7259,7259,6784.58904109589,5893.1506849315065,109502.24657534246
Peru,Lima,-12.04583,-77.03048,71228,71228,4858.940397350993,4280.794701986755,210481.16556291393
Vanuatu,Port Vila,-17.7415,168.31502,60805,60805,8366.666666666666,7875.925925925926,238743.3333333333
Norway,Oslo,59.91327,10.73911,9809,9809,10748.484848484848,10909.090909090908,170096.78787878787
Malawi,Lilongwe,-13.97346,33.78781,44624,44624,6808.510638297872,5708.510638297872,184567.1489361702
Cook Islands,Rarotonga,-21.2289009094238,-159.774993896484,62012,62012,12500.0,13000.0,299024.0
Benin,Cotonou,6.36768,2.42523,33778,33778,5732.4324324324325,4377.477477477478,147810.05405405405
Singapore,Singapore,1.29045,103.85204,23519,24624,7912.043189368771,7342.857142857143,158911.6046511628
Saint Kitts and Nevis,Frigate Bay,17.2980995178223,-62.690601348877,50705,50705,8894.117647058823,7811.764705882353,225927.64705882352
Togo,Lomé,6.12586,1.22485,37089,37089,6688.181818181818,5500.0,167812.54545454547
China,Shanghai,31.2294213192989,121.476302880328,26907,26907,6855.287817938421,5288.219544846052,149788.02945113787
Armenia,Yerevan,40.1833000183105,44.5,6051,6051,4727.883211678832,4028.4671532846714,78292.36496350364
Dominican Republic,Punta Cana,18.6149044036865,-68.3883895874023,91886,91886,8459.12052117264,7657.328990228013,302199.68729641696
Ukraine,Lviv,49.8418803237434,24.0316271781921,11017,11017,3461.2648221343875,3400.0,70491.70750988142
Ghana,Accra,5.60042715081299,-0.187796083482681,29654,29654,7679.020979020979,7246.853146853146,166814.2937062937
Tonga,Nuku‘alofa,-21.13330078125,-175.199996948242,66526,66526,7080.7692307692305,7138.461538461538,232182.76923076922
Cayman Islands,George Town,19.28699,-81.3717,48524,48524,11821.794871794871,13000.0,262553.1282051282
Indonesia,Ubud,-8.50809,115.26396,33263,33263,3754.306864064603,3400.0,119086.29609690444
Mauritius,Flic-en-Flac,-20.2833003997803,57.36669921875,39602,48521,6113.779527559055,5411.811023622047,173715.91338582677
Tajikistan,Dushanbe,38.574486,68.786575,14839,14839,5347.826086956522,4668.115942028986,104547.56521739131
Sweden,Stockholm,59.3324165344238,18.0652141571045,9809,9809,12103.061224489797,13000.0,189060.85714285716
Vietnam,Ho Chi Minh City,10.778902053833,106.699867248535,20758,29255,3804.229797979798,3400.0,103272.21717171717
Mali,Bamako,12.6499996185303,-8.0,38155,38155,6976.829268292683,5534.1463414634145,173985.60975609755
East Timor,Dili,-8.55368,125.57841,43003,43003,6071.875,5295.833333333334,171012.25
